"portugues","tupi"
"Minhas palavras somente cumprirás","xe nhe'enga nhõ ereîporaká"
"Ali ias por ocasião dos feriados","a'epe 'aretéreme eresó"
"Semelhante a uma roupa de querejuá que brilha mais que o sol","aó-kereîûá kûarasy sosé oberaba'e nungara"
"Vou buscar água","a'ypîasó"
"Fiei o algodão","aamynyîu-poban"
"Eu tenho papo","xe rendybagûyaî"
"Colocando-o dentro de um túmulo de pedra em que ninguém estava enterrado","itá karamemûã abá tymagûere'yma pupé i mondepa"
"conhecedor de animais, bom de caça","so'o-kugûaba"
"três ou quatro anos após os enterrarem","mosapyr koîpó oîoirundyk seîxu ybŷá o tym'iré"
"Vou para a casa","asó okype"
"o que vai à roça","kopîasoara"
"Embora não agisse ela velhacamente, bateste com o pau na tua esposa","marani n'oîkóî îepé, ereropûar ybyrá nde remirekó resé!"
"Querendo beber vinho, tudo esgotei","kaûĩaîa 'useîa é, opakatu amboapy"
"Verdadeira morada de Deus, filha de Deus","tupã rendabeté, tupã raîyra"
"Fazendo alguém ser seu alcoviteiro","o manhanamo abá moingóbo"
"esse outro","kûé amõaé"
"castrado","sapi'a'ỹî'okypyra"
"Que pareçam juntar-se como um só","t'oîese'ar-y berame'ĩ oîepekaturamo"
"Bebi água","a'y-'u"
"sobrinho dele","i i'yra → i'yra"
"Eu gemo dormindo","xe keraíb"
"o que é cabeçudo","i apytagûaba'e"
"Haveis de bem recobrar o fôlego após vos cansardes","ta pe putu'ẽngatueté irã pe îemokane'õ ré"
"Foi, porventura?","osó ruã-tepe é?"
"Sobre grelhas de moquear, de ferro, assaram-no","moka'ẽ itá îurá 'arybo sesyri"
"Diante deles passei","sobabo akûab"
"Oxalá houvesse uma mulher aqui !","kunhã iké sekóû biã mã!"
"Amo-a, por ela tendo cuidado","asaûsu, sesé gûinhemoryryîa"
"milho de que se faz pão","abati-tinga"
"lugar em que dormem os japuguaçus, também antigo nome da Ilha de Santana, da cota leste do Brasil","îapugûasu-kesaba"
"Vamos hoje para trazer alguns assim desse jeito","emonã nungara amõ t'îasó kori seru"
"Que conheça o caminho do céu, obra de Deus","t'oîkuab ybaka piara, tupana remimonhanga"
"o que escurece roupas, o tintureiro","aó-moundara"
"Eis que com seu corpo deve estar sua divindade, nos pedacinhos também, inteiramente","i tupã irũmo bé kó seté rekóû, pesembûeri pupé bé gûetépe-katu re'a"
"""sob o sono"" da alta noite, nas horas mortas da noite, em que todos dormem","pysaîekatu ké-gûyrybo"
"Eu estou amargo","xe 'ak"
"Não te envergonhas, porventura, de ti mesmo, ao dominar-te o desejo sensual da carne podre?","nd'eretĩ-piã nde îosuí so'o-aíba poropotara apyrasápe?"
"Reatei-o","aîapytĩatã"
"Eu sou um aleijado","xe ate'ẽ"
"Não os temos desde nossos avós","- marãpe pe rubixabetae'ym? - nd'oroerekóî nhẽ oré ramuîa abé - por que vós não tendes muitos reis?"
"Eu sou mal-encarado","xe resakûarasy"
"Não comas este fruto","e'u ymẽ ikó 'ybá"
"Acalentei-a","aîmboyî"
"Fazendo nosso pai primeiro casar com nossa mãe primeira","îandé rubypy momendá îandé sy-ypy resé"
"Para quem a gente reza?","abá supépe asé îeruréû?"
"E confessaste que tu as roubaste?","a'epe ereîmombe'u a'e resé nde mondá?"
"Ameacei, outrora, os tupinambás","aîmomburu akûeîme tupinambá"
"Na verdade, três vezes negarás ser meu discípulo","mosapy ipó xe boîáramo nde rekó ereîkuakub"
"Asperge também a gente as sepulturas com água benta?","osepyî bépe asé tyby 'y-karaíba pupé?"
"Tu te comprazes quando um homem apalpa teus seios?","nde rorype nde kama abá sungáreme?"
"Saiu para o pátio, chorando muito dolorosamente","osem okarype, oîase'o-asy-katûabo"
"Como se eu fosse lá","a'epe xe só îaramẽ"
"Depois disso, os malvados estão, a altas horas, atravessando o interior das ocas","a'e ré, moxy rekóû pysaîé okybỹîa asá-asapa"
"Honro tua casa, dentro dela dançando","aîmomba'eté nde roka, i pupé gûiporaseîa"
"bola, novelo de lã","inimbó-apu'a"
"Trouxe as velhas de além de Magueá","gûaîbĩ aru amõ magûeá suí"
"Saiu-me de través","xe raîé i xemi"
"Hei de viver bem como eles","aîkó-katupe i îabé ká"
"Como o viu se ele não tem corpo?","marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?"
"E Judas não se afligiu junto aos judeus pela traição a seu senhor?","a'epe îudas n'oîkotebẽî îudeus supé o îara me'engagûera resé?"
"Tão logo indo eu, ele veio","xe só abé turi"
"Um prisioneiro fazeis-me sempre libertar","mundepora amõ îepé peîmosemukar ixébe îepi"
"Como coisa um do outro estão os que são casados","o îomba'eramo i momendarypyra rekóû"
"Forçaste uma solteira antes de lhe fazer mal?","ereîukaípe mendare'yma i momoxy îanondé?"
"Eu mesmo, como se viu, já vos disse isso","ixé aé ã a'é umûã nakó peẽme"
"Sou traidora de meu marido","amondarõ xe mena suí"
"à tona d'água, na superfície da água","y-ape'ara rupi"
"Vindo com os três reis pela estrela","mosapy reîá reru îasytatá rupi é"
"Ah, beliscar-me-á hoje!","xe pixã korine, mã!"
"Fachos de luz para iluminar o caminho pela escuridão","ysysaý putumimbyka rupi pé resapébo"
"Envergonhaste à toa tua esposa?","ereîmomara'a tenhẽpe nde remirekó?"
"Leio-o","asa'ang"
"Eu estou arrasado","xe robapyka'ẽ"
"Por isso mesmo Deus te repeliu, desde então o fogo para sempre queimando-te","nd'e'i te'e tupã nde pe'abo, a'epûerype tatá aûîerama nde rapŷabo"
"Por que não te escondes?","marãpe nd'erenhemimi?"
"Não teve mãe, não tem corpo, não teve começo","n'i xyî, na setéî, n'i ypyî"
"Levando nossa alma para o céu","ybakype asé 'anga rerasóbo"
"Não","-oîporará bépe mba'e amõ a'epe oîkóbone? -aani xûéne - sofrerão ainda alguma coisa aí vivendo?"
"O próprio Deus distinguiu o padre como seu substituto","tupã é abaré oîmoîa'ok gûekobîaramo"
"Guarda nossa terra de nossos inimigos","esarõ oré retama oré sumarã suí"
"Tenta-nos demais o diabo?","asé ra'angetekatu anhanga?"
"Se o que tem relações sexuais com uma solteira ou por ela se atrai transgride muito a palavra de Deus, tanto mais o que perverte uma casada ou o que se atrai por ela","mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîaby-eté tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara"
"Ali também estando os que guardaram sua alma em sua virtude","a'epe bé ogûekokatu pupé o 'anga nongatusarûera oína"
"Os cristãos como uma unidade, a consorciação deles","i mongaraibypyretá oîepegûasu îasûá, i îogûerekó anhẽ"
"Iam mulheres, discípulas dele, pranteando-o","osó kunhã semimbo'e-etá sapirõmo"
"Pode a gente vê-lo aqui também?","e'ikatupe asé iké bé sepîaka?"
"Por que a gente reconhece o dia dos santos?","marãnamope asé santos 'ara kuabi?"
"Ela é fininha e comprida","ta'yrĩ'i-muku"
"Os ex-maridos, esses, malditos, não se repreendem","mendûera kó re'a nd'e'i oîeakakapa"
"Qual era, mesmo, o nome dele?","marã-takó ahẽ rera?"
"Eis que este é o pão verdadeiro","kó té mi'u-eté"
"Ah, que bom seria se eu tivesse ido ontem!","marãîasûaramo xe sóû kûesé mã!"
"Desatei a boca dele , desencabrestei-o","aîuru-sambok"
"Compadece-te de minha alma","eporeaûsubok xe 'anga"
"Que ele me leve para seu lugar de felicidade","ta xe rerasó og orypápe"
"do lado da superfície de, do lado de fora de","i apé koty"
"Abri-me a boca, bocejei","aîeîuru-pirar"
"Como as coisas devagar","a'é umanĩ mba'e gûabo"
"Apressei-me muito","anhemoaîu-katu"
"a multidão de companheiros do provincial","pa'igûasu irũndyba"
"Vem, mãe de meu senhor, para fazê-lo estar contigo dentro de minh'alma","eîori, xe îara sy, xe 'anga pupé serupa!"
"Eu falo demais","xe nhe'ẽ-mby'i"
"Tratemo-los bem, junto de nós","t'i rekó-katu îandébe"
"Quantas vezes o homem transgride aquele após atrair-se por uma mulher?","mbobype abá aîpoba'e oîaby kunhã resé o nhemomotar'iré?"
"A todos os homens ama para o bem deles","…opabĩ abá raûsubi i katurama resé"
"bem tardiamente","ariré é"
"o aleijado de orelhas","nambi-asyka"
"Alguém não reconheceria ter comido algo bom, esquecendo-se da excelência de seu sabor?","abámo mba'e-katu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?"
"Lembra-te de mim!","nde ma'enduá xe ri!"
"Tinjo-o de vermelho","aîpitu-pyrang"
"Obedecei ao padre, vosso mestre","pesapîá abaré, pe mbo'esara"
"de que lugar?","manõîa suípe?"
"Que afastemos o diabo agora e para sempre","anhanga t'îaîpe'a ko'yr aûîeramanhẽ"
"E se dividirem seu sangue em pequenas partes, em cada uma delas está?","a'epe sugûy moîa'o-mirĩ-mirĩneme i îabi'õpe i kûáî?"
"São muitas as coisas que são causa de impossibilitar os casamentos","setá mba'e mendara moabaipaba"
"Também não pode aquele excomungado miserável ouvir a missa","nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé"
"Ficaste bêbado de cauim, perdendo o juízo?","eresabeyporype kaûĩ suí, 'ara mokanhema?"
"Por isso tão somente nasceu dela, não lhe fazendo rombo","nd'e'i te'e oá nhote i xuí, nd'i pekábo ruã"
"Vieram para consolá-lo","our i moapysyka"
"Começando-os logo","taûîé iîypyrunga"
"Tu te preocupaste com que teus vizinhos ouvissem a missa ao começar ela?","erenhemosaînanype nde rambyagûá missa iîypyrungápe sendubagûama ri?"
"Eis que esses meus valentões sabem assassinar","kó a'e xe kyre'ymbaba oîkuá morapiti"
"Estareis aflitos hoje","pe poreaûsu korine"
"ficar pondo comida, aos poucos, na boca de","îuru-py-pyk"
"Falastes torpemente para vós mesmos?","penhe'eng poxype pe îoupé?"
"Ajo velhacamente","aîkó-angaîpab"
"Dar também o dízimo naquilo que plantou primeiro","o emitymbûerypy pupé tupã potá-me'engano"
"Descalcei-me","aîepyaobok"
"Zune como o vento","ybytu îabé osunung"
"Cobrindo-o com seu véu","opîá o akangaobĩ pupé"
"O juiz mandou desorelhar o ladrão","morubixaba mondá îaînambi-'okukar"
"Eu sou velho","xe ymûan"
"Tenho desgosto por o ter levado","arasó tieté a'é"
"Mandei um homem ir em busca de palma","aîopûaî amõ abá pindoba resé"
"E no caso de não acabar sua dívida neste mundo?","a'epe ikó 'ara pupé sepy syke'ỹme?"
"É por isso que o batizais junto ao padre","aîporama resé é peîmongaraíb abaré pyri"
"Lançando palavras contra a lei de Deus","tupã rekó koty nhe'enga reîtyka"
"Derrubei-o","aîaparaîtyk"
"Ofendeste tua avó?","ereîanga'ope nde aryîa?"
"Em terra ele se transformará","ybyramo i nhemonhangyne"
"Seus fígados hão de ser minha porção","i py'apûera xe potabamo t'oîkó"
"Faço-o muito apressadamente","aîapó-anhẽ-anhẽ"
"algum tanto, um pouquinho","angaîbĩ'ĩ nhote"
"mulher normal","kunhãeté"
"Bem devagar o fiz","mbegûé-katu aîmonhang"
"O que tem a bem-aventurança é o que não agride","tekokatueté rerekoara onherane'ymba'e"
"Entornei-o","anhosen"
"Não pode outra pessoa batizar em vez do padre?","nd'e'ikatuîpe amoaé abá oporomongaraípa abaré suí?"
"Para o inferno","-a'epe i 'anga mamõ i xóû? -anhanga ratápe - e sua alma para onde foi?"
"Iria a gente para o céu ao batizar-se, sem mais?","osó nhẽmope asé ybakype o nhemongaraibireme?"
"Eis que teu filho me fez mudar de idéia","xe resaekoabok ikó nde ra'yra"
"o que tem olhos que são luxuriosos","sesá-poropotaryba'e"
"Estou sendo muito miserável","xe poreaûsukatu gûitekóbo"
"Havemos de chegar ao céu","t'orobasẽne ybakype"
"Eu tenho impigem","xe titing"
"acarretar, acarrear","eru-erur"
"Sal bento pôs na tua boca para que seja muito saborosa a palavra de Deus a ela","îuky-karaíba oîmondeb nde îurupe ta se'ẽngatu tupã nhe'enga i xupé"
"Mas livra-nos tu das coisas más","oré pysyrõ-te îepé mba'e-aíba suí"
"Solto o embrulho dele","aîpokesá-rab"
"Mudarei de nome hoje, por causa deles","aîerok kori seséne"
"Não em vão Deus disse isso, não dizendo ""- pode ser""","nd'e'i te'e tupã aîpó o'îabo ""re'ĩ"" o'eyma"
"Eu sou um fujão","xe îababixûer"
"Por que vocês, maíras e perós, quer dizer, franceses e portugueses, vêm de tão longe procurar madeira para se aquecerem?","""que veut dire que vous autres mairs et peros, c'est à dire françois et portugais, veniez de si loin querir du bois pour vous chauffer?"""
"a que é alforriada","i mokunhãetepyra"
"Ergui a espinhela","aîpusu'ã-mogûyr"
"à flor d'água, na superfície da água","y-apé 'arybo"
"madeira fina, ótima","ybyrá-eté"
"Estando a destilar coisa quente, coisa muito amarga","mba'e-akuba, mba'e-robeté tukutuku okûapa"
"Seu companheiro de guerras também é Bastião, o flechado","i maranirũ abé bastião u'uborûera"
"pelouros grandes que se faziam da mandioca curtida, com que depois davam cor à farinha de guerra","u'i-apu'a"
"Eis que ele sempre vai","osó memẽ n'akó îepi"
"O cauim transbordante nas igaçabas, depois disso, atrai-os","ygasápe kaûĩ-tuîa, a'e ré, îamomotá"
"Eia, agora, contai, pois, os impedimentos dele","pe'ĩ ko'yr sarûaba mombegûabo rõ"
"Com pranto estai como modo de louvar o que entra junto a vós","îase'o rakó perekó peẽmo teîkeara moetesabamo"
"Para quem a gente reza pela felicidade futura de sua alma?","abá supépe asé îeruréû o 'anga rekokaturama resé?"
"Eu sou torto","xe apẽ"
"Hei de te ajudar","t'oropytybõne"
"Enfim, à sua esquerda estando os que foram pecadores","aûîé i asu koty é i angaîpaba'epûera oîkóbone"
"Teço roupas","aaó-pyasab"
"És uma criancinha","pitangĩnamo ereîkó"
"Eu sou covarde","xe abang"
"Levando uma outra semelhante a ela tão logo se consuma muito","i îaroketé rupibé amoaé sapixara rerasóbono"
"Não! Meu quinhão és tu!","aã! xe potaba nde!"
"rastro da cobra","mboîa kuapagûera"
"Eia, afasta-me depressa!","ne'ĩ taûîé xe reîyîa!"
"De fato, quiseste matar mesmo o bondoso São Lourenço","supi é, ereîuká-potar é são lourenço-angaturama"
"Eh! Onde ele está?","tó! mamõpe ahẽ rekóû?"
"por isso, portanto","emonã resé"
"Qual é teu nome?","marãpe nde rera?"
"São Pedro, com seus companheiros, tomou São Matias como apóstolo","são matias s pedro o irũetá resebé tari apóstoloramo"
"Gastei-o totalmente","aîmongûy-pab"
"Apisoei-o","aîapatuká"
"Haveis de vos consolar muito futuramente, após acabar a batalha","ta peapysyketé irã marana pab'iré"
"Não há absolutamente servos meus","n'i tyb-angáî xe boîá"
"Fiz-me homem","anhemoabá"
"Que venha logo o que me guarda para me livrar dele, combatendo-o","t'oú taûîé xe rarõana xe pysyrõmo i xuí, i momarana!"
"Querendo furar os buracos das orelhas da gente","asé apysakûá-puka potá"
"ira que te impregna","nhemoŷrõ nde momungasara"
"Se meter a mão neste nosso fogo é terrível, quanto mais ali","ikó îandé ratá pupé asé po'ema biã iî abaeté, memetaé a'epe"
"Nós assomamos em grande número, nós éramos muitos","oré akoroí"
"Tende-o por vontade, tende-o para matá-lo","perekó potasábo é, perekó i îukábo"
"Desobedeci a ele","aîmoabangab"
"Eu lhe mordo a cabeça","aî'asu'u"
"prender escravos","tapuîa rara"
"Para o desaparecimento dos vestígios da maldade de nossa alma","asé 'anga suí asé angaîpaba rakypûera kanhemagûama resé"
"Sou leve","abebuîkatu"
"experimentando poções de ervas","ka'a mosanga ra'anga"
"Eu sou de bom semblante","xe resakûanhyrõ"
"o oposto daqueles pecados","aîpó tekoangaîpaba robaîara"
"o que se deseja matar","i îuká-potarypyra"
"Vamos sucessivamente, uns atrás dos outros","oroîeoî"
"Eu sou arisco","xe resaeté"
"Compadecendo-se somente de oito que viviam segundo suas palavras e que gerariam filhos","oito anhõ o nhe'enga rupi tekoara oporomonhangyba'erama raûsubá"
"Por ocasião de um dia santo foste para longe?","tupãneme nhẽpe eresó kûepe?"
"retalhador de carne, açougueiro","so'ombo'isara"
"Tudo faz a aldeia pecar!","opá taba moangaîpabi!"
"Meteu-te pelo pescoço","nde mondeb o aîurybo"
"saída de gente","morosema"
"As estrelas bem longe se escondem","îasytatá kûepe é i nhemimi"
"Para um príncipe que tinha nome Anás","morubixaba anás seryba'e supé"
"Ah, que bom seria a morte do fulano por aí!","marãîasûaramo ahẽ kûepe se'õ mã!"
"Cantemos um pouquinho, primeiro","t'îanhe'engá-mirĩ ranhẽ"
"No mesmo dia em que a comeres, cairá a morte em ti","ara nde i gûaba pupé bé o'a te'õ nde reséne"
"Eu mesmo fiz assim","ixé aé emonã aîkó"
"Ao transcorrerem quatro gerações","oîoirundyk îeapyká sykápe"
"Portanto, eu vim a ti","emonãnamo, xe ruri ndébo"
"Salve Rainha, mãe de misericórdia, vida, a que é doce","salve rainha, moraûsubara sy, tekobé, se'ẽba'e"
"Que bom que existes, ó meu senhor!","aûîebeté ereîkó xe îar-y gûé!"
"Ouvindo missa nos dias que devem ser honrados","ara i momba'etepyra pupé missa rendupa"
"Resgatar os cativos","i momiaûsubypyra renosema"
"Hei de contar os pecados deles para que tu me acredites","t'aîpapáne i angaîpaba ta xe rerobîá îepé"
"Assim, na verdade, eu determinei","emonã nakó xe rekopotari"
"Já ia","osó ymûã"
"Esconde-te!","enhemim!"
"o que lavra as madeiras, o carpinteiro","ybyrá pandara"
"O oposto da ira é a paciência","nhemoŷrõ robaîara tosanga"
"Tiro a sua ferrugem","aîkytyngok"
"Brigarão, cuspir-se-ão?","omarãmonhangype, oîoendyne?"
"Por os levarem os padres, não os amo","abaré ogûerasoápe, n'asaûsubi"
"Por se compadecer de mim, minh'alma faz firme","xe raûsubasápe, xe 'anga moteni"
"Em tuas mãos sentando-se, vai o menino","nde pópe ogûapyka, osó kunumĩ"
"tomou o pão em suas mãos","miapé rari o pópe"
"Entro na igreja só de vez em quando","aîké-pa'ũpa'ũ nhote tupãokype"
"dois ladrões","mokõî mondabora"
"Vós lembrais","pe ma'enduar"
"Coisa muito boa é a confissão, que Deus fez como modo de aplacá-lo neste mundo","mba'e-eté anhẽ nhemombe'u tupã remimonhangûera ikó 'ara pupé o monhyrõsabamo"
"Perguntou Herodes sobre qualquer coisa para ele?","oporandupe herodes mba'e tetiruã resé i xupé?"
"Elas são muito altas?","iîybaté-katupe?"
"Meus parentes trazendo, faço-os dançar comigo","xe anametá aroporaseî seru"
"Escolheu-a para sua futura mãe","i pysyrõû o syrama resé"
"Junto a si fazendo-vos sentar","o pyri pe mogûapyka"
"Fiquei-o simulando","aîmorã-moran"
"Dizem que fui?","asó serãne ra'e?"
"alguém","amõ ahẽ"
"Está diante de mim","e'am xe reseî"
"bola de madeira","ybyrapu'a"
"Pode a gente trocar seu próprio nome ao receber aquele?","e'ikatupe asé aîpoba'e rasápe ogûera rekobîarõmo?"
"Eu sou muito grosseiro, eu sou grosseirão","xe ran - eu sou grosseiro xe ranusu"
"Creio na nossa futura ressurreição","arobîar asé rekobeîebyragûama"
"Estou bem estabelecido","aĩngatu"
"o que Deus dá segundo seus propósitos","tupã remime'enga o ekopotasaba rupi"
"De modo nenhum os temiminós tiram seus nomes antigos","nainanĩ temiminõ o erumûana mombó"
"porca fêmea","taîasu-kunhã"
"O que se compraz em seu sonho mau","o ké-poxy omboryba'e"
"o que deseja a justiça","tekokatu 'useîtara"
"Hei de irritar os malditos","""aîrarõpe muru ká"
"Tenho-o na cintura","xe ku'aî arekó"
"Como o revolutear de um urubu sobre coisas fedorentas","urubu mba'enema 'arybo nhemoîereba îabé"
"Aproximando-se da morte, suou bastante","te'õ rerobyka, syaî-tekatu"
"Queimo-te hoje, como de costume!","oroapy kori, îandu!"
"Pensai que, algum dia, a morte virá para bater em vossas portas","penheangerekó amõ 'ara pupé te'õ pe rokena motaka turagûama resé é"
"Os chefes velhos falam sempre a eles, repreendendo-os, censurando-os","morubixaba tuîba'e onhe'eng memẽ i xupé, senonhena, i akakapa"
"Não trouxe nenhum parati","nd'aruri amõ parati"
"Enfim, o Filho de Deus nos julgará","rumby tupã ta'yra îandé rekomonhangane"
"Ali também estão os meninos, as meninas, as moças que guardaram seus corpos em Deus","a'epe bé kunumĩ, kunhataĩ, kunhãmuku tupã resé ogûeté onongatuba'epûera rekóû"
"Cocei-o","ase'yĩ"
"Como disse Nosso Senhor para o que esbofeteou seu rosto?","marã e'ipe îandé îara og obá petekarûera supé?"
"Acenaste com a cabeça para alguma mulher?","ereîe'aîtykype kunhã amõ supé?"
"Arrependendo-se ele de ter batido em ti","nde resé i pûaragûera moasŷabo"
"Vem para que faças ir de mim a maldade","eîori t'eremondó xe suí tekoangaîpaba"
"Estou-me agachando","anhemombé-mombeb gûitekóbo"
"Saciei minha vontade de comê-lo","aî'useî-mogûab"
"Faze fugir o diabo","eîmonhegûasem anhanga"
"Quando chegou o dia oito, cortaram seu prepúcio","oito 'ara sykeme, i 'apira mondoki"
"Portanto, ando hoje com o provincial","angari abaregûasu arogûatá"
"Mata","oîuká"
"a que tem nome Santa Maria","santa maria seryba'e"
"fora, na rua","okarype"
"Estava ele despido, sem mais, em público?","ikatupe nhẽpe sekóû te'yîpe?"
"A vida eterna que eles terão no céu é a que mudará?","oîekûabokyba'eramape tekopuku ybakype semierekorama?"
"Oh! Quem aqui dá a cara?","to, ahẽ! abápe ké sobasẽ?"
"Tomai este meu sangue como vosso resgate","peîar kó niã xe rugûy pe repyramo"
"Ide depressa!","pekûá esapy'a!"
"Olhe bem que, por isso mesmo, o maldito ataca o homem, tornando-se apresador dele","nd'e'i te'e moxy keteté abá ropenhana, sesé oîemoembiaryîá"
"Portanto, prendo-te!","irõ, oropokosub!"
"Era eu","ixé rakó"
"Os maus padecem açoites","angaîpaba oîporará îonupã"
"Era muito grande aquela cruz?","turusu-katupe a'e cruz erimba'e?"
"Que ela faça seu mui belo filho perdoar a nós","o memby-porangeté t'omoîerekûab orébo"
"Tu te enfureceste por causa de alguém?","nde marãmotarype abá resé?"
"Batendo numa mulher que está grávida","kunhã i puru'aba'e resé opûá"
"Passou a aflição","i pûer tekoaíba"
"Medi-o","asa'ang"
"rio acima, a montante","y-apyrakoty"
"Aquele que entrava na igreja","akó oîké rakó tupãokype"
"As doenças da alma do homem com ele saram bem","abá 'anga mara'ara i pupé opûeîrá-katu"
"Qual é o preço delas?","mba'epe sepyrama?"
"E todas as coisas futuramente queimarão?","a'epe opá irã mba'e kaîne?"
"Lanço puçá","apysá-îtyk"
"Eu tenho boa fala, eu sou bom falante","xe nhe'ẽngatu"
"Faço-os ser ladrões de cauim","aîonong ka'umondá"
"Sabendo que Deus te fez sair daquela escuridão, honra a Deus","aîpó pytunusu suí tupã nde mosemagûera kuapa, eîmomba'eté tupã"
"Estou-me recolhendo","anhenong gûitupa"
"Todos os vícios colocaram bem em seus corações","opabĩ tekoaíba mondebi-katu o py'ape"
"A graça que ele dá não acaba","graça semime'enga n'opabi"
"Ele mesmo certamente me guarda","a'e aé ipó xe rerekó"
"Na igreja, publicamente, diante de duas pessoas","-umãmepe i poromomendari? -tupãokype, ikatupe nhẽ, mokõî abá robaké -onde ele casa as pessoas?"
"o que perverte uma casada","mendara momoxysara"
"Pu-los em enfiada","asysybõ"
"Eu tenho diarréia","xe rebykasy"
"palavras grosseiras, de zombaria","nhe'ẽ-memûã"
"Como os soldados que o agarravam trataram-no, então?","marãpe gûarinĩetá i pysykara serekóû a'ereme?"
"Contigo sempre estamos","nde resé memẽ oroîkó"
"Era bela, outrora, Miaí, minha antiga região","i porang, erimba'e, mia'y, xe retãmbûera"
"Já anunciara o anjo a sua prima estar ela grávida dele","oîmombe'u uman karaibebé i pyky'yra pé i puru'aramo sekó"
"Depois disso, vamos quebrar as cabeças dos reis","a'e ré kori îasó tubixaba akanga kábo"
"querendo ir tu para o lado de gente","mosé esó-potá"
"A não ser que Deus não a fizesse estar consigo","tupã serekó e'ymetemonaémo"
"Untei as penas nele","asá-mongy"
"Bem feito para o maldito! Seus fígados hão de ser minha porção","iîá muru! i py'apûera xe potabamo t'oîkó"
"A seus próprios companheiros não querem bem","o irũ n'oîamotari"
"Para ele trouxeram, como oferendas, ouro, incenso e mirra","i xupé ogûeru îetanongabamo itaîuba, ysykatã syapûãba'e, mirra"
"Dentro de tuas entranhas como criança estando","nde ybỹîa pupé pitangamo oúpa"
"Brilhou formosamente","oberab-aysó"
"Por isso mesmo os malditos se alegram por causa deles, fazendo disputa por eles","nd'e'i te'e moxy sesé og orybamo, sesé oîomoaîuabo"
"Que ele fique dentro de vós como fica com seu estado de feto no ventre de sua mãe","o sy rygépe o pitanga reropytá îabé, t'opytá pe pupé"
"Esses temiminós malvados nossa lei detestam","kó temiminó-poxy îandé rekó ogûeroŷrõ"
"Avaliei-o","asepyenõî"
"Por ocasião disso Deus deixou de amar o homem?","a'e remebépe erimba'e tupã abá raûsupo'iri?"
"Quem aquele transgride?","abápe aîpoba'e oîaby?"
"Não estaremos mais aflitos","nd'oroîkotebẽ béî xóne"
"cal de ostra","reri ku'i"
"Atravessam suas mãos, assim como seus pés, sobre a cruz pregando meu Senhor","îaîpó-asá-sá i py resebé, krusá sosé nhẽ xe îara moîá"
"Toquei-o","anhatõî"
"Deste atenção a tua confissão?","ereîeapysaká-katupe nde nhemombe'urama resé?"
"roda de madeira","ybyrá-babaka"
