tupi,portugues_pred
"i mongu'ipyra","sua mãe"
"ingapema bé peru!","Que bom que seja!"
"sekó omongaturõ îandé rekó-poxypûera","Ele sempre fez cair a vida de seu pai"
"tupã momburûareté tatá pupé nde resyri","O fogo de Deus, que está em tua boca, te faz ficar furioso"
"asó py'i","Eu tenho o coração"
"xe nambi-asyk","Eu não sou muito mau"
"oré raûsubá îepé oré rekobé pukuî","Nós somos muito mais velhos"
"tupã o aûsubaraûama resé onhemoapysyka","Deus, porém, já o fez cair"
"a'ytab","Eu estou"
"mondarõ, nhe'engaíba, mo'ema nde resemõ","Enquanto te roubas, não te roubas, já te roubaste"
"pirá mondóbo pá","roubo de dinheiro"
"tó eẽ","Sim, sim"
"peîmo'ang ra'u xe ra'yrĩ gûé, peîmo'ang pe re'õ pupé pe ruba","Ajudem-me, filhos meus, a fazer o bem de seu pai"
"tupã amõ kunhãngatu monhangi","Deus é o que faz com que o homem seja rei"
"og ugûy pupé xe reî","A água está cheia de mim"
"i 'ekatûaba kotysaba é","É o que é muito forte"
"aîopi","Eu estou"
"ereîtykype kunumĩ amõ nde 'arybo moropotara suí?","Não te tiras de ti, por causa da tua carne?"
"oporandu benhẽ, n'i angaîpaba amõ supé ogûasema ruã-te","Perguntou-se verdadeiramente, não é verdade que o diabo está presente"
"auîebeté kó aîkó, ndébo ko siri reru","Por isso, não deixe este homem"
"iî abaíbeté asé atá mysakanga","Os que estão em paz, são os que estão em paz"
"tekorama ri îeapysaká","A vida é muito grande"
"oromoeté-katu nde xe pysyrõagûera resé","Tu me deixaste ser salvo"
"xe moaîu-marangatu aîpó tekó-pysasu","Eu sou o homem de Deus"
"mba'e-aé","Eu sou o que"
"pé rupi ogûataba'e","Por isso foi ele"
"sepŷápe, ereîakasó","Em primeiro lugar, tu vais"
"aîapapûar","Eu estou a fazer"
"xebe teîkeara","Eu sou muito velho"
"a'é benhẽ","Eu sou verdadeiro"
"kûybõ oma'ẽ-nhemima","O que está deitado"
"eîmoeté nde ruba nde sy abé","Fica com teu pai, com tua mãe"
"salve rainha oré îerobîasaba","Salva a rainha para nos servar"
"asasab pé gûitupa - estava atravessado no caminho aînĩ-asab","Eu sei que o que está por trás dele não é o caminho que ele atravessa"
"xe risi'ĩ","Eu estou deitado"
"asyby'ab","Eu estou triste"
"amõ kunhã suí i moingoébo","Eu sou o que faz com que ele seja"
"ybyrá itá-monhangymbyra kupépe","O mar em cima de uma pedra de pedra"
"xe rabarab","Eu sou um homem"
"aîemĩngatu kó gûitupa","Eu coloco esta coisa"
"ka'ape asó","Eu vou para o lado"
"nde 'anga osapy satá ogûeîypa","Tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu,"
"ara yby sokeme, xe ruri","O mar de dia, meu rei"
"apak gûitupa","Eu sou muito velho"
"itá-u'uburu","a carne de pedra"
"pe rekate'ym sesé","Tu és o que faz o homem"
"xe 'anga","Meu pecado"
"n'aîpotare'ymi","Não quero muito"
"nde ko'ema, 'ara rorypabeté","Tu és tu, hoje, o que nos faz feliz"
"îaîpó-asá-sá i py resébe, krusá sosé nhẽ xe îara moîá","Com a sua morte, a cruz está em mim"
"i 'a","Ele é"
"-nde rapixara pixé, mba'enem-y îu!","- Tu estás a ser perseguido, ó homem de merda!"
"inimbó'i amõ reru","O que é que é que é que é que é"
"arokakar gûenũ","Eu tenho que ir"
"eva, îandé sy-ypy, onhemomotareté 'ybá-poranga resé, mboîa nhe'enga rupi","Eva, mãe de Deus, foi para a terra de Deus, por causa da sua morte"
"aî'atybakã-moín","Eu sou muito bom"
"aîmaman okytá ysypó pupé - amarrei o esteio com cipó aîmaman ysypó okytá resé","Eu tenho que ir para o céu, para que o esteio seja como o céu, para que o céu seja para nós"
"oîoaûsu-katupe amẽ oîopopysykyba'epûera?","Que é que é que o que está sendo feito?"
"marãpe nde rerokaba abaré reminongûera?","Que dia é que tu te tiras de tua casa?"
"xe atimandápe","Eu sou o homem"
"aîpoepyk pero","Eu estou muito triste, mas"
"oîme'eng-y bépe tupã ikó 'ara pupé mba'e amõ i angaturamba'e supéno?","Que Deus tem de fazer com que o homem seja maldito?"
"eboûĩ nde resá erobak oré koty","Que tu nos deixes ficar em casa"
"apyterybỹîa","a desobediência"
"akó ybakype ogûekó îakatu, îandé îara rekóû miapepûera pupé nhẽ abaré pópe re'a","Ao chegar ao céu, porém, o que está na terra, o que está na terra, é o que está na terra"
"orébe t'oré mondyki, nde irũmo t'oroîkobé","Nosso irmão, que nos rouba, é teu irmão"
"oîerokype asé santos ybakypendûara supé bé?","Que dançarão os santos, porventura, na terra?"
"i ma'enduar","Ele ouviu"
"putunusu porarábo, oroîkotebẽngatu","O que é bom, é bom, é bom"
"y-embe'yba","peixes de água"
"og ubixaba abé asé osapîá","O que está em casa, o que está em casa, o faz gritar"
"aroby-katupe ká i porangepîá-katûabo","Eu sou o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"morabuká-katu","O que é mau"
"nd'e'i te'e sero'a-ro'a i posyîa suí","Não disse que a gente era muito boa"
"aîkugûab","Eu estou deitado"
"îudeos ekomonhangábo i 'apira mondoki","Os judeus, porém, o condenaram por roubar sua casa"
"akaruk","eu tenho"
"turagûera moetesabamo kó 'ara îamoeté","O que é que é que é que é que é que é que é que é que é que é que é que é"
"aîepy-mongaraû","Eu sou um homem de fé"
"aîme'engĩ","Eu estou com medo"
"marã-tepene?","A tua alma?"
"asa'ubar","Eu sou um homem"
"ikó îu'i t'ere'u sepy resé","A gente come muito, muito bem"
"mba'easybora remimborará moarybé-ukasara bé 'ykaraíba","Para que o homem que faz mal seja bem, o homem que faz mal"
"i xama ri arasó","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"xe nhy'ãme t'ereîké, xe py'a moingatûabo","Para mim, tu és o que me faz sentir"
"nã takó îomomoranga re'a?","Não é que ele está a louvar?"
"kó xe 'anga, nde rusaba, nde rupabamo t'oîkó","Eis que eu, teu pai, estou no teu leito"
"i angaturamba'e reté i pokãngatu kûarasy sosé oberapa","O corpo de seus pecadores, por sua causa, é o que se faz"
"tining-atã","muito forte"
"oré tupãoketá","Nosso Deus"
"setá nhẽ ygasabusu","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"okûabépe irã so'o, gûyrá, pirá, ka'a?","Que carne, carne, carne, carne, carne?"
"t'oîkó umẽ oka rupi oré 'anga monguébo","Por causa de alguém que nos deixou ir, nós somos os que nos deixaram"
"esa'angyne serasóbo","Eu sou o que vai ser"
"t'oîkó pabẽ ybypesûara nde remimotara rupi","Que o céu se torne um lugar de tua morte"
"katunhẽ eîerurébo oré katûagûama ri!","Que nos deixem ficar em paz!"
"asereb","Eu fui"
"i angaîpaba suí i moîepe'aesapy'a-uká","Os seus pecados, porém, são os que se afastam"
"itá karamemûã pupé i mondepa","A pedra de seu amigo é a que está"
"xe parati 'y suí aîu, rainha repîaka, xe akanga moîegûaka","Eu tenho o meu parati, o rei de minha casa, meu pai"
"o aobusu mondoró-ndoroka o marãmotaramo","Eu batizo o ladrão-morro quando ele é morto"
"endé, nde îybápe, îesu eresupi","Tu, em tua casa, Jesus te fez subir"
"so'o mbo'isaba","a preguiça da carne"
"ose'ymype gûá?","Que é que eu estou?"
"seébo","a sua própria"
"o monhemombe'ûarama resé oîkotebẽmo","O que é que o homem que fala é o que é"
"i momokõîndûara mendara moîekosupaba","Sua morte não é a morte de quem está morto"
"xe nhe'engyrygûan","Eu sou um homem"
"aybyrá-pan","o pão de peixe"
"temone a'ereme osykamo","Que o homem se afaste"
"na xe repy-marangatuî","Não me deixes ser santo"
"ogûatápe oré rekyîa","A gente está em nossa casa"
"rerityba","O que é que é"
"kuîa nhẽ i tĩ-ngá-tĩ-ngábo","A gente tem que ser muito boa"
"anhe'eng-atã","Eu sou muito forte"
"penhemoma'enduá anhanga ratápe i porarapyra resé ta pe angaîpab umẽngatutenhẽ","Que o que se faz com o pecado, por causa de sua bondade, seja o pecado de todos os pecadores"
"mamõpe i xóû o mba'e'u-pab'iré?","Que é que ele é o que faz com que ele come?"
"ka'amondoara","o queimador"
"só-kyra","a queima de sol"
"ixé xe katueté","Eu sou o único"
"xe roŷpyre'yma","Eu sou muito mau"
"i porambyrambykĩ xe nhemosaraîa ixébo","Sua misericórdia me faz cair"
"oporokurá-kuraba'e","Ele é muito bom"
"kunumĩgûasu catorze ro'y resé i xyke'yma, nd'e'ikatuî abá resé omendá","A mulher de quatorze anos, por causa de sua morte, não pode casar ninguém"
"aîty-kukur","Eu estou deitado"
"oîme'engîeby sepypûera morubixabetá supé","Não há nada de mais que a morte de um homem"
"abápe aîpoba'e oîmomaran?","Onde é que eu vou para morar?"
"mba'e apŷabap'aîpó?","Que coisa é que eu tenho?"
"asó amẽîepi","Eu vou para o outro lado"
"marãpe karaibebé tupã resé îerobîasara rubixaba rera?","Que Deus, porventura, fez com que o homem fosse adorado?"
"setá, sesé oîopuru-purûabo o kane'õ-ne'õnamo","Seita, a gente que está em meio a isso não vai ficar"
"oré pysyrõ-te îepé mba'e-aíba suí","Nós somos apenas os que nos livramos de coisas que são muito más"
"okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî","Quando o homem de fora da terra, ou o homem de fora da terra, querendo ser, o homem de fora de casa, querendo ser seu pai, querendo ser seu pai"
"îukae'yma","Ele é o que está morto"
"xe rasok","Eu estou a ir"
"kó oroîkó oronhemborypa","Isto nos faz ficarmos felizes"
"îandé monhangara nhẽ erenoĩ nde îybápe","Que o que está em tua boca, seja o que está em tua boca"
"oporakakab? abá?","Que é que ele fez?"
"xe agûy-agûy","Eu sou muito velho"
"îamongûá moxy ru'uba","Que ele seja o queima de uma mulher"
"aîeká","Eu sou"
"xe yî","Eu sou o meu pai"
"îaru!","É muito bom!"
"-karaibebé serã, kó taba rarõaneté","- Por muito que seja, esta casa é muito bonita"
"eîmoingó-puku-katu kó taba tupã resé","Que este homem seja muito bom para Deus"
"mba'e resépe îuky-karaíba mondebi asé îurupe?","Que motivo tem o homem de fazer o que é bom?"
"oré remi'u 'ara îabi'õndûara eîme'eng kori orébe","Nosso Senhor nos deu o dia de nos livrar"
"aûîé, xe îuká îepé!","Eu sou, eu sou muito mau!"
"ku'aî","a cabeça"
"xe parĩ","Eu sou o pai"
"o'anga koîpó abá 'anga koîpó santo amõ ybakype tekoara renõîndara abé o îuraragûaîamo nhẽ, marãpe?","Que tal o espírito de Deus, que hoje está no céu, como o homem que faz o bem, se ele faz o bem?"
"kobé xe îurupara","Eu sou o que me faz ir embora"
"n'ama'ẽî","Não olhe"
"mytamytá-ypy","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"i porãngatu sekó","Sua glória é grande"
"anhemoeté-a'ub","Eu tenho-o"
"ereké-pipó eîupa?","Que é que você é?"
"ybytyra amongoty","a terra está ferida"
"i akanga resé a'e takûara reropûá","A sua boca é a que está bem"
"t'i poraká apó abá","O que faz bem é o que faz bem"
"i akytãmbûera","sua cabeça"
"oré remi'u 'ara îabi'õndûara eîme'eng kori orébe","Nosso Senhor nos deu o dia de nos livrar"
"oîkuab i marangatueté","Ele está muito santo"
"iîysapuku sama amõ","A gente está muito bem"
"xe roka pobu-potá","Eu tenho o meu coração"
"ipuku erimba'e îandé rubypy rekóû îase'o-monhanga","Por muito tempo, o que é mau é o que é mau"
"t'oú turi - deixa-o que venha t'oú turi ranhẽ","Vão para o túrio - deixa-o que venha para o túrio"
"pe rory, xe ra'yretá, xe ri","Tu, meu filho, me amas"
"îandé rarõmo","Ele é o que está em paz"
"miapé-ybakygûara, apŷabebé remi'u","A gente, muito velha, muito velha"
"nde ram","Tu és o teu pai"
"o îoamundabamo oroîub","Se ele se afundasse, ele se afastava"
"aîpó resé nhẽ, ko'y asaûsu","Eu sou o que está, hoje estou"
"eremondarõpe nde remirekó suí?","Esperaste a tua esposa?"
"o py'ape oîeroŷrõmo","A gente não tem o coração"
"xe ybyri tuî","Eu sou velho"
"ereîmoîebyrype kaûĩ nde poesemõneme?","Escolheste-te em tua casa?"
"ne'ĩ a'é","Não é o que eu sou"
"nde raûsuba poepyka","Tu estás sentado no seu lugar"
"okena robapy","A porta está fechada"
"tapi'irokaîa","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"ne'ĩ n'endé aé","Não te deixes levar"
"oîoîabenhẽpe tekokatu resé o a'yra moingoagûama ri i nhemosaînanyne?","Que alguém, por causa da natureza, tenha sido o filho de Deus, para que ele se tenha feito homem?"
"îandé moîeapykáû ikó 'ara pupé ranhẽ","A gente que está no caminho de sua morte"
"xe resemõ sauîá","Eu sou o que me faz sentir"
"gûyrá-sapukaîa îabé ereîetu'u nde atõî nhote abá, aûnhenhẽ eresó nde rokápe enhe'engá, nde rapopé moboka i xupé","Por isso, tu, que te tiras de ti, não te tiras de ti, que te tiras de tua casa, que te tiras de tua casa, que te tiras de tua casa"
"t'iru! ou iru!","Vão! Vão!"
"xe-te, xe rembiá-potá sabeypora amõ resé","Eu sou, meu amigo, o que é o que é meu amor"
"mba'epûera peîépe?","Em que lugar está?"
"îé, aîpó xe moytarõ","Sim, eu estou diante de mim"
"îabendûara","Ele é o que está"
"irõ bé!","É verdade!"
"opabẽ taba mondyki","Todos são ladrões de papai"
"asaembe'e","Eu sou o que mais"
"xe ropá serã?","Eu sou?"
"sapixara rerasóbono","O que faz com que o homem seja"
"i xy mombe'u-poranga xe moingotebẽngatu","A morte de seu pai me faz sentir"
"-oîerokype asé cruz supé? -oîeroky -a gente se inclina junto à cruz?","Dançou-se a gente junto à cruz?"
"xe t'oropysykatu, xe mundépe nde mbo'a","Eu te abençoarei, no meu mundo, teu ensinamento"
"ereîápe so'o îagûara remiîukapûera?","Onde está a carne de seu pai?"
"oîké îugûasu, i akanga kutuka","A gente tem que ser muito boa, muito boa"
"okytá","Ele caiu"
"mba'epe asé reté remi'u?","Que é que eu tenho de comer?"
"i por irãne","É muito bom"
"n'i pori be'ĩ xe aîó","Não me deixes vir"
"asereb","Eu fui"
"tupã tari","Deus é o que faz"
"abebé kó ybytu îá","Que este céu seja muito forte"
"our benhẽ i kera pé nhẽ obasemano","Nosso pai morreu por causa disso"
"aîerobîá-pyryb gûitekóbo","Eu sou um homem de grande valor"
"osóbo bé","Ele foi"
"i kanga îepotasaba pe'abo o îosuí","Sua raiva é que se faz a gente"
"kapi'ĩ sosé kó tuî, tapi'irusu karuápe","O que está aqui, no lugar dos homens"
"aîapyr-etab","Eu estou muito triste"
"ereîápe nde mba'e 'u roîré koîpó mba'e amõ mokon'iré?","Onde tens tu o que é que temos de comer para os dois?"
"marã-pakó xe sy xe mbo'ari erimba'e?","Que tal me ensinaste a minha mãe?"
"apŷaba nd'e'i te'e o 'ybamo nde mo'ama","Não disse que fosse seu filho"
"eîori xe 'anga reîa, i motinga","A minha alma está em mim, sua morte"
"pitanga robá sesãî i xupé","O que é bom é o que é bom"
"aîpoepyk semikûatiara","Eu tenho que ir para o outro lado"
"tupã ra'yreté anhẽ ikó abá","O filho de Deus, porém, está em seu lugar"
"nd'e'i ymûanĩ ahẽ aoba moaûîébo","Não disse que eu ia para o velho para ir para o outro lado"
"xe momotîasó ahẽ nhe'enga","Eu sou o que me lembro de ir embora"
"o 'anga resé oîeangûabo","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"oîkó bé xe taŷaíba","Eu sou muito mau"
"i 'amopikytĩpyra","Ele é o que faz com que ele se apaixone"
"xe îeysá-puku","Eu sou muito mau"
"se'yî i kuabypyre'yma tupã i monhangara remingûaba nhõ","A gente que tem o nome de Deus, a sua mãe, é a que tem o nome de Deus"
"nde pytuẽ na satãngatuî maíra!","Não te deixes levar o espírito do mundo!"
"kunumĩ-nhembo'e","A gente tem que aprender"
"ogûerasó amõ okusupe seroîkŷabo","Ele foi para a terra, sem ser ser humano"
"îagûara biãé ererasó, gûa'ysé o îoesé posé o ẽme, oîepysyrõ bé'ĩ","Para que o que está bem, seja bem, para que o que está bem, seja bem salvo"
"emonã ûĩ sekóû","Aceitem-no bem"
"îudeus supé sepîakuká","Os judeus são muito velhos"
"xe tĩ-titing - meu nariz tem titinga xe py-titing - meus pés têm titinga xe pi-titing","Eu tenho o pé-titindo - eu tenho o nariz com o pé-titindo - meus pés com o pé-titindo"
"n'i tybi tugûy nde membyrasápe","Não há água na tua boca"
"kó xe musuranusu","Eis meu mosurano"
"typy","o que é"
"na tenhẽ ruã","Não te afaste"
"asepîakatu","Eu sou muito"
"aîmimby","Eu sou o que entendo"
"ereîmombe'upe abá marã'eagûera nde mba'epûeramo?","Contaste-te com alguém que te fez passar a vida?"
"tekate'yma robaîara tekate'yme'yma","A gente está muito triste"
"anhamĩ - espremi-o aty-amĩ","Eu sou o que escrevi"
"katunhẽ eîerurébo oré katûagûama ri","A gente tem que nos levar para o inferno"
"xe nhe'engarũaíb","Eu sou um homem"
"osó xe ruba béno","Eu fui para o meu pai"
"aîmamã-rok","Eu sou o que faz isso"
"sendaba","caminho"
"îo'u","Ele comeu"
"ara nhemomosapyra pupé","O dia é que nos faz sentir"
"t'ereîuká ixébe paîé-aíba supé","A gente está muito bem"
"sesé nhõ abá resá apysykamo ybakype","Se o que está no céu é o que está no céu"
"aîukatu","Eu sou muito forte"
"nyn-nyng a'é","Eu sou o que é"
"xe 'anga rekobepûera xe remimokanhẽûera oîmoîebyrukar ixébone","Eu tenho a alma de Deus, que me faz ficar bem"
"i angaturãngatu moeburusûabo","Seu santo pecador"
"aûîeté pakó aîegûak ûiîemoúna","Eu sou muito mau, muito mau"
"aani-xûé ipóne","Eu fui para o lado dele"
"t'oroîtyk oré poxy","Que nos deixe ficarmos felizes"
"i îomba'e","Ele é muito bom"
"amõ anhangusu-manhana îepimemẽ xe momboî","Eu sou o que me ensina, o que me ensina"
"xe rembiá-potá sabeypora amõ resé","Eu sou o primeiro a saber o que é meu amor"
"sobábo akûab - diante deles passei nhoesembé robábo i kûáî","O que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é"
"abá mongagûabo koîpó se'yma","O que é o que é o ladrão"
"a'e roîré ko'yté i koty obaka onhe'eng-abaetéramo","Eu sou o que está na parte de trás de sua casa quando ele está em casa"
"ereîeîopyk-ukarype nde maranungaramo?","Não te afligiste de ti quando te mataste?"
"opabĩ nde momoranga","Todos te amaram"
"aîmoaikatu","Eu sou capaz"
"eîori, xe îarĩ gûé, ta sorybeté xe 'anga nde 'aragûera resé","Vai, eu sou, para que o meu espírito se torne o teu povo"
"mba'e-u'uma, taîasu!","Que coisa, ó homem!"
"anhẽ, n'i tekokuabi","Sim, não há nada de bom"
"a'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe","Eu também te vou levar com a mão a luz do teu Senhor"
"marã e'ipe o boîá mosapyr supé mitỹme o iké ré?","Que tal o homem que faz o que é bom para o filho de Deus?"
"marãnamo-piã xe pe'a îepé, pa'i gûé?","Que diabos me tiraste, teu padre?"
"xe 'anga omonem tekoangaîpaba","Meu Deus recebeu o pecado"
"nde rorype abá serekomemûãagûera resé?","Que te fez ficar feliz?"
"ta sasẽ, oîasegûabo!","Lá vai, está bem!"
"aîar itaîuba pedro suí","Eu tenho o pedro de pedra"
"aîmoîa'ok","Eu estou com raiva"
"koba'e îá","O que é que é"
"anhynhyng","Eu tenho medo"
"ikó 'ara pupé bé o angaîpagûera repyme'ẽngatusarûera ybakype aûnhenhẽ serasó-uká","Por causa disso, o que faz o pecado, o que faz o pecado, o faz cair no céu"
"aporokuaukar","Eu tenho de fazer isso"
"a'e-te kaûĩ pûaîtara","Eu sou apenas o queima de um cão"
"xe mendûera ipó re'ĩ","Eu tenho a minha alma"
"t'okanhẽ pe rekopûera","Comam a vossa vida"
"t'aka'une!","Que seja muito forte!"
"eîpytybyrok xe roka","Fica em minha casa"
"pekaî oîepegûasune","O que está em paz"
"a'epe supindûare'yma resé tupã renõîndara, marã?","Eu sou o filho de Deus, não é verdade?"
"ma'e resé îandé nhomongetá?","Que é que é que é o que é verdade?"
"pysaré serã ereîkó arinhama mokanhema?","Porventura, quer que eu o faça?"
"nd'oîkóîpe mba'e amõ tupã 'ara monhang'e'ymebé?","Não há nada que seja mais do que o que Deus faz com o homem?"
"lisboa akûeakoty","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"angûera resé tupã mongetasagûama","Deus, porém, não tem medo de o fazer"
"eîori oré pokoka","Vamos para nós"
"t'oîporeaûsuberekó îudeus","Ele fez-se sentir muito bem com os judeus"
"marãîasûaramo tupã xe rerasóû mã!","Que Deus santo me tenha atendido!"
"esykyîébomo, ereîkó-katumo","Se eu fizer isso, tu serás o que o faz"
"karaibebé serã, kó taba rarõaneté","Deus mesmo, esta terra é muito boa"
"sobyba'e","a morte"
"oîeperemõndûara","Ele está muito bem"
"anhonongatu o îoupé","Eu o encheria"
"paranãendy","o que está em fogo"
"tapuîa rarõsara","a queima de uma árvore"
"îandé-te, îandé retama t'ixepenhan","É verdade, é verdade que o homem é o que se apaixona"
"té! oîpotareté îandé ramuîa o ekobîareté îandébe","Que seja! É muito forte que o homem seja muito forte"
"xe angaturã be'ĩ temõ erimba'e mã!","Meu pecador é muito grande!"
"marã oîkóbo-tepe asé anhanga rembiaûsubamo sekóû?","Que será que o homem é o único que tem a vida de pecado?"
"o îarĩ kuapa aunhenhẽ","Eu tenho que ir para casa"
"xe nhe'engangaturam","Eu sou um homem"
"sa'ĩ xe îukae'ymi","Eu sou muito mau"
"ten amo'e","Eu sou o que disse"
"n'oîmomarã-mirĩ-angáîpe ybakygûara tupã remimotara?","Não é que o homem, por sua vez, é o que Deus faz com que o homem seja?"
"nha'ẽ-pyko'ẽ","Não se esqueça"
"arurusu","eu sou o que é"
"aîpó abá ma'e îara îandébe","Eu sou o que está em seu lugar"
"asakypûemomosem","Eu tenho de ir"
"catorze asé remierobîarama","Quatorze dias de adoração"
"aûîé! xe rorybeté","Eu vou! Eu vou"
"irumõmbyra","filho de um homem"
"a'epe se'yî kunhã tupã supé onheme'engyba'e oîkóbo","Eu sou o que é o Deus de Deus, que nos dá a vida"
"xe aterẽngatu","Eu sou um homem"
"tó! mamõpe ahẽ rekóû?","Que é que eu vou fazer?"
"s pedro itangapema osekyî","O que é o nome de Pedro, o que é o nome de Pedro, é o nome dele"
"îagûara remiîukapûera","A gente que está em paz"
"aîpobu gûaîbĩ py'a, i moŷrõmo, i momarana","Eu tenho o coração de um homem, que, por sua vez, é o que ele é"
"i apysy-katueté","Ele é muito forte"
"nã temõ ixé serubi mã!","Não se esqueça de ele!"
"xe mba'ekugûab","Eu sou o que me faz"
"okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî","Quando o homem que está no meio da terra, fazendo-o, fazendo-o, o homem que está no meio dele, faz-o cair"
"moroîtykara","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"asé apysakûá-puka potá","Eu tenho que ir para o lado de fora"
"t'aîmopóne nde nhe'enga","Que te dê o nome"
"gûymaenhẽ gûixóbo","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"ahẽ nhõ ikó i mba'e-katu, xe suí mã!","Eu vou para o que é seu, meu filho!"
"kamusi pora","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"ygá-pype","no meio da terra"
"oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?","Será que o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é?"
"umãmepe sekóû?","Onde está ele?"
"tatá-endy-etá, asé apekũ-abyare'yma anhõ osepîak","Queimando-se o fogo, o queimando-se o queimando"
"peîori, perasó muru","Vão, vamos, vamos"
"aryryî, opá xe uba îesyî","Eu sou muito velho, todos meus filhos são muito velhos"
"apykabapu'a","Eu estou sentado"
"xe rygeaíb","Eu sou o meu pai"
"oka'ugûasu pabẽ","a queimou-se"
"abaré abépe asé oîpiamondó?","Que mais alguém é que está aqui?"
"aka'apîasó","Eu estou muito triste"
"tupã rerobîá-katu nde py'a suí nd'o'iri","Que Deus te livre de ti, não te deixando levar"
"nd'ei te'e, o py'a pupé oîemongetá-ngetábo, tupã momburukatûabo","Não é verdade, pois, que o coração está em conversas com os homens, o que é Deus"
"-anga îápe pe roka? -oîkoé-katu","- Onde está o seu pai? - É muito forte"
