portugues,tupi_pred
"Trazendo algumas linhazinhas","Ha'e ogueru ku'i michĩmi"
"Aproximei-me de Guenum","Che aju Guenum gotyo"
"Eva, nossa mãe primeira, atraiu-se muito pelo belo fruto, de acordo com a palavra da serpente","Eva, ñande sy ypykue, tuichaiterei oñemomba'eguasu pe yva iporãitereíva, he'i haguéicha pe mbói."
"Pus entradas nele","Aipuru umi mba'e oúva hese"
"Enrolei o cipó no esteio","Aitypýi che ryguasu"
"Devem amar-se muito os que se casaram um com o outro?","¿Oñemboja'o va'erãpa hikuái ojoayhu?"
"Qual o teu nome de batismo que o padre pôs?","Mba'eichapa nde réra pa'i omoĩva?"
"por ocasião de meu retorno","Che retãme"
"Replico a Pero Aînhe'ẽ-poepyk Pero - Replico as palavras de Pero","Añe'ẽta Peru Aînhe'ẽ-poepyk Pero - Añe'ẽta Peru ñe'ẽ"
"Dá também Deus neste mundo algumas coisas aos que são bons?","¿Ome'ẽ avei Ñandejára ko yvy ape ári mba'e porã umi imba'eporãvape?"
"Esses teus olhos volta em nossa direção","Nde resa kuéra oho jey ñande rapére"
"vão oco de alguma coisa, o vazio do meio de alguma coisa","Oiméne mba'e'ỹi, mba'e'ỹi mbytépe."
"Eis que, como está no céu, Nosso Senhor está dentro do pão nas mãos do padre, com certeza","Ko'ápe, yvágape guaréicha, ñande Ruvicha niko oĩ pan ryepýpe pa'i pópe, añetehápe"
"Que ela nos destrua para que vivamos contigo","Ha'e oipe'a haguã ñande reheve jaikove haguã nde ndive"
"A gente se inclina para os santos que estão no céu também?","¿Ñande py'a potĩ avei umi santo yvágape oĩvape?"
"Ele se lembra","Ha'e imandu'a"
"Suportando a escuridão, estamos muito aflitos","Ñamboyke pytũmbýpe, ñembyasyeterei"
"margem de rio, beira do mar","ysyry rembe'y, mar"
"A gente obedece também a seu próprio chefe","Ñande avei ñambojerovia ñande ruvicha rehe"
"Hei de me aproximar muito dela para ver bem sua beleza","Ahasýta hese ahechávo mba'éichapa iporã"
"bom trabalhador","mba'apohára porâ"
"Por isso mesmo ficava caindo com ela por causa do seu peso","Upévare añe'ẽ chupe ipoty rupi"
"Agradeci-o","Aguyjevete ndéve"
"Segundo o rito dos judeus, seu prepúcio cortaram","Umi judío kuéra rembiapoukapy he'i haguéicha, ojeja'o hikuái itúva'y."
"Urinei","Ahepyme'ẽ"
"Como modo de honrar sua vinda, comemoramos este dia","Péicha ñamomba'eguasu haĝua ouha, ja'e ko ára"
"Desconjuntei-me o pé","Che py'a apytĩ"
"Dei-o por dar","Aheja'o chupe ome'êvo"
"E pois, como há de ser?","Ha mba'éicha piko?"
"Tomei-o em seco","Ahendu'akue yvýre"
"Estas rãs, que as comas em retribuição por isso","Ko'ã rãnga, ha'e ho'u va'erã ichupe kuéra."
"A água benta é o que faz abrandar também o que os doentes sofrem","Y marangatu niko ombopyahu avei hasýva ohasa asýva"
"Levo-o na sua trela","Aipórõ nde rapépe"
"Que entres no meu coração, guardando bem meu interior","Nde reike che korasõme, nde peguereko porã che py'a"
"Assim havemos de nos acariciar?","¿Añetehápepa ñañotỹta?"
"Eis que minh' alma, à qual tu vens, há de estar como teu leito","Ko'ápe che ánga rehe reju va'ekue, ha'éta nde rupáicha"
"Os corpos dos que são bons serão sutis, brilhando mais que o sol","Umi heko porãva rete hesakãvéta, omimbive kuarahy."
"coisa mirrada ou muito seca","mba'e ojehecha vai térã iporâitereíva"
"Nós temos muitas igrejas","Heta tupão jareko"
"São muitas, com efeito, as grandes igaçabas","Heta, añetehápe, umi mba'e guasu"
"Escaparão futuramente os animais de caça, os pássaros, os peixes, as matas?","Oiméne okakuaa umi mymba kañy, guyra, pira, ka'aguy?"
"Que ele não esteja pelas ocas a agitar nossas almas","Ani haguã ha'e ohasapaite umi yvotyty ha'éva ñande py'a"
"Prova que o levas!","Ehechauka reipuruha!"
"Que esteja tudo o que está na terra segundo a tua vontade","Toiko opa mba'e oĩva ko yvy ape ári nde rembipota háicha"
"Eia, roga por nossa virtude!","E, eñembo'e ore virtudia rehe!"
"Chamusquei-o","Che ahenói chupe"
"Mandando-os fazer afastar-se logo de suas maldades","Omondo haguã ichupekuéra ichugui kuéra hembiapo vaíva"
"Pondo-o dentro de um túmulo de pedra","Aityta peteĩ itápe"
"Do rio dos paratis vim para ver a rainha, enfeitando minha cabeça","Ysyry Paratis guive aju aju va'ekue ahecha kuñanguéra, ombojeguáva che akã"
"Suas túnicas ficando a rasgar, estando furiosos","Ikatúva ijao, ipochy"
"Tu, em teus braços, Jesus ergueste","Nde, nde po'i kuérape, Jesús opu'ã"
"lugar de retalhar a carne, açougue","tenda oje'éva ñemby, ñemby"
"Deram-lhe de beber?","¿Oñeme'ê chupe hikuái ho'u haguã?"
"Ralando-o","Ha'e ombojeguáva"
"tendo falta de um confessor seu","ndorekóiva confesor"
"A segunda dele é a satisfação dos cônjuges","Mokõiha hína umi omendáva jepy'apy"
"Eu sou fingido","Che añembo'e"
"Lavro as madeiras","A'e'ỹi yvyra"
"Oxalá chegasse então","Oiméne oguahê upérõ"
"Eu não tenho preço alto","Che ndaipóri mba'e guasu"
"para seu fogo arrastando-nos","Hyapu'ãgui ñanemomýi"
"""ajuntamento de ostras"", nome de um lugar","""octra aty"", tenda réra"
"Das cuias quebrando as pontas","Umi cuia romokangyva'ekue umi punta"
"Falei duramente","Añe'ẽ vaieterei"
"Lembrai-vos do que se sofre no inferno para que, de modo nenhum, pequeis","Pehẽ rehe pehendu pe jehasa asy oĩva pype, ani pejapo mba'eve ivaíva."
"Aonde ele foi após acabar de comer?","Moõpa oho okaru rire?"
"o que caça, caçador","mba'e ojukaha, ojukaha"
"folha tenra","kuarahy morotĩ"
"Eu sou melhor","Che niko iporãve"
"minha ausência","Che ndaiporiha"
"Estava agradável a mim meu jogo","Che py'a porã che ñembosarái"
"O que fica escarnecendo das pessoas","Mba'e mba'e oñembohoryva'ekue tapichakuéra rehe"
"Um rapaz, não chegando aos catorze anos, não pode casar-se com ninguém","Mitãrusu, ndohóiva 14 ary, ndaikatúi omenda avavépe"
"Sorvi o caldo","Ahepyme'ẽ pe yva"
"Devolveu seu pagamento aos príncipes","Ombohovái pe viru mburuvichakuérape"
"Quem desobedece àquele?","¿Mávapa ndojapóiva upeicha?"
"Que índios são esses?","¿Mba'eichagua indio-kuérapa hína?"
"Ia de costume","Ha'e va'ekue ymaite guive"
"Qual é o nome do chefe dos anjos que confiam em Deus?","¿Mbaʼéichapa héra umi ánhel ruvicha ojeroviáva Ñandejárare?"
"Eram muitos, para se revezarem uns aos outros nisso, ficando cansados","Hetaiterei hikuái, oñani haguã ojuehe, ikane'õgui."
"Mas livra-nos tu das coisas más","Nde katu ore renohẽ mba'e vaietégui"
"Caem algumas vezes os frutos de suas árvores, sendo ainda flores, outras vezes em seu estado verde, outras vezes caem após seu amadurecimento","Sapy'ánte ho'a hi'a, yvoty, ambue jey ho'a hi'a, ambue jey ho'a hi'a rire."
"não matando","ndojapóiva"
"Eu tenho vermes","Che akãraguasu"
"Aqui estamos para nos alegrar","Ko'ápe roju rovy'a haguã"
"Nosso criador fazes estar contigo em teus braços","Nde rejapóva ore apohare nde pópe"
"Censuram? Quem?","¿Mba'eichagua censura?"
"Eu estou cambaleando","Añeñandu vai"
"Fazemos passar as flechas dos malditos","Jaipuru umi mba'e vaiete michĩva"
"Quebrei-me","Che apytĩ"
"Eu estou poento","Che añembyasýi"
"Tragamo-lo!","Jahupyty chupe!"
"Talvez seja o anjo, guardião verdadeiro desta aldeia","Ikatu hína pe ánhel, pe guárdia añetéva ko távape"
"Faze estar muito longamente esta aldeia em Deus","Ejapo ko táva ipukukueete Tupãme"
"Por que põe sal bento na boca da gente?","Mba'ére piko omoĩ ku'i porã ñande jurupe?"
"Nossa comida, a que é de cada dia, dá hoje para nós","Ñane tembi'u, opa ára guarãva, ome'ẽ ñandéve ko'ágã"
"Basta, tu me matas!","Ejahu, nde chejukáta!"
"na cintura","ikurúpe"
"Eu manquejo","Che apytégui"
"E mentindo aquele que invoca sua própria alma, a alma de alguém ou também algum santo que está no céu, que acontece?","Ha ijapu'ívo pe ohenóiva imarangatúva, térã ambue imarangatúva yvágape, mba'épa oikóta?"
"Eis aqui meu arco","Ko'ápe oĩ che arco"
"Eu não enxergo","Ndahechakuaái"
"topo de escada","Yvateve'ỹva"
"É muito belo seu proceder","Iporãite niko pe mba'e rejapo va'ekue"
"Envaideço-me sem motivo","Che py'a potĩ'ỹre"
"Estavas realmente dormindo?","Reñotỹ añete?"
"além das montanhas","yvytykuéra ykére"
"Em sua cabeça batendo com aquela cana","Nde akãre oity haguã upe yvyra"
"Procuremos alimentos para aqueles homens","Ñañombo'e tembi'u umi kuimba'e"
"as porções miúdas dela, o refugo dela","Umi mitâkuña'i porción, ha'e osêva'ekue"
"Nossa comida de cada dia dá hoje para nós","Ore tembi'u ára ha ára ome'ẽ ñandéve ko'ágã"
"Conheceu sua autêntica bondade","Oikuaáma nde reko porãite"
"Eram compridas algumas cordas","Heta yvyra puku"
"Querendo revirar minha casa","Che róga reheve"
"Longamente nosso pai primeiro esteve chorando","Heta ára ñande ru ypykue hasẽ"
"Deixa que venha primeiro","Eju che rendápe tenonderã"
"Alegrai-vos, meus filhos, por minha causa","Pevy'a che ra'ykuéra, che rehehápe"
"Guardando-nos","Ha ñandepy'apy"
"Pão celestial, comida dos anjos","Pe pan yvágagui, tembi'u umi ánhel ome'ẽva"
"Hás de ser","Reñemoĩ va'erã"
"Somos vizinhos uns dos outros","Ñañemoirũ ojuehe"
"Por causa disso, com efeito, agora o amo","Upévare, añetehápe, ko'ágã ahayhu chupe"
"Foste traidor de tua esposa?","Reñembotavy nde rembirekópe?"
"Detestando-se em seu coração","Ovy'a nde py'apýpe"
"Jazia ao lado de mim","Oguapy che ykére"
"Vomitaste cauim quando te encheu?","¿Remomýiva'ekue ka'i nde reme'ẽvo?"
"Digo que está muito bem","Ha'e niko iporãitereiha"
"retribuindo o amor a ti","Ombohováivo nde rayhupápe"
"o limiar da porta","okẽ rokẽ"
"curral de vacas","Kuarahy ñemby"
"faze como te parece","Ejapo ndehegui reipotáva"
"Igualmente se preocuparão em fazer seus filhos estarem na virtude?","¿Oñemomandu'áta hikuái avei omotenondévo imembykuérape tekoporã?"
"Multiplicou-nos neste mundo, primeiro","Ojapo hetave ñandehegui ko yvy ape ári, tenonderã"
"Sobram-me sauiás","Che reheve oĩ saludo"
"Como um galo te deitas Somente te toca alguém, imediatamente vais para o teu terreiro para cantar, teu esporão arrebentando contra ele","Peteî kavaju ho'u haguéicha nde reñenoha. Peteî tapicha nde rapykuéri, pya'e reho ne yvy ári reho haguã reho haguã purahéi, nde espuma osê hese."
"Tragamo-lo!","Jahupyty chupe!"
"Eu, em vez disso, quero presas em alguns bêbados","Che katu, che aipota oî traváho umi mbeguekatúva rehe"
"Dissestes tolices?","¿Nde ere vaíri?"
"Sim, esses me satisfazem","Ha'e kuéra che rovy'a"
"o que é igual a algo ou a alguém, a igualha de, o igual de","mba'eichaguáva peteĩcha mba'e térã ambue mba'e, peteĩcha, peteĩcha"
"Enfim, de volta!","Ha upéicha, ou jeýma!"
"Todas as aldeias abrasou","Opavave táva ojapi"
"Afio-a","Añeha'ãta"
"Será que me perdi?","¿Añetehápepa ndacheperdi?"
"Levando uma outra semelhante a ela","Ogueraha ambue ojoguaha hese"
"A bela proclamação de sua mãe afligiu-me muito","Nde sy ñe'ẽ porãite tuicha che pytyvõ"
"Inclina-se","Oguejy"
"Eu hei de bem apanhar-te, fazendo-te cair no meu mundéu","Che katu che peguereko, che yvýpe che peguereko"
"Tomaste o animal que a onça matou?","¿Reñemog̃uahẽ pe mymba ojuka va'ekue?"
"Entram grandes espinhos, espetando sua cabeça","Oike umi ñana guasu, omboty iñakã"
"esteio, alicerce de casa","yvyra, óga ñemoñepyrũ"
"Qual é a comida de nosso corpo?","Mba'e tembi'upa ñande rete?"
"Realizar-se-ão futuramente","Ojejapota ko'ã ára"
"Não contém mais nada minha bolsa","Ndaipóri mba'eve che bolso-pe"
"Lambi-o","Eipuru chupe"
"Deus o tomou","Ñandejára ogueraha chupe"
"Vôo como este vento","Nde'íri yvytu ramo"
"Veio de novo, achando-os novamente no sono","Oguahê jey, ojuhu jey hikuái okeha"
"Estou sendo um tanto arrogante","Che añembo'e chehegui"
"tão logo indo ele","ohóvo ohóvo"
"As juntas de seus ossos afastando umas das outras","Umi ipya'e ojoajuva'ekue ojoykére"
"Eis que sobre o capim ele está deitado, no lugar de comer da vaca","Ko'ápe, yvate gotyo, oguapy, ka'avo ho'uhápe."
"Aparei as pontas deles","Aitypa ichupekuéra"
"Tomaste-o depois de comer ou depois de engolir alguma coisa?","¿Re'u rire térã reñemomýiri rire?"
"Por que minha mãe me deu à luz outrora?","Mba'ére piko che sy che mbo'e yma?"
"Por isso mesmo os homens erigem-te em dirigente deles","Upévare umi kuimba'e omopu'ã nde rehe mburuvicha"
"Vem para lavar minha alma, branqueando-a","Ojuhu omopotĩ haguã che ánga, omopotĩ haguã"
"O rosto da criança está alegre para eles","Mitã rova ovy'a hesekuéra"
"Retribuí o que ele escreveu","Ajepy'apy upe ohai va'ekuére"
"Filho verdadeiro de Deus é, de fato, esse homem","Ñandejára ra'y añeteguáva ha'e añeteguápe ko kuimba'e"
"Ele nunca acaba de completar as roupas Nd'e'i ymûanĩ osóbo - Nunca acaba ele de ir","Nda'e'i'i ymûanĩ osóbo - Nda'e'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'"
"A fala de fulano repreendeu-me","Pe ñe'ẽ guyra'i reheve che mo'ã"
"Receando por suas almas","Okyhyje'ÿva imandu'a haguã"
"Minha coragem ainda existe","Che py'aguapy oĩ gueteri"
"o que é circuncidado, o que tem o prepúcio cortado","ojecircuncida, ojepe'áva prepucio"
"Eu tenho estatura elevada","Che niko che rekoha guasu"
"São muitos os não conhecidos que Deus somente, o criador deles, conhece","Heta mba'e ndoikuaáiva Tupã Ñandejára, ha'e voi ojapo va'ekue, oikuaa."
"Descansa Não é muito forte o maíra","Pytu'u Mburuvicha guasu ndoiporu mbarete"
"moço que aprende, moço aprendiz","mitãrusu ohekombo'éva, mitãrusu ohekombo'éva"
"Levaram-no para um certo palácio, fazendo-o entrar consigo","Ha ogueraha chupe peteĩ palacio-pe, ha oike hendive."
"Pois se levas cães, se estiverem eles ao lado um do outro da sua própria raça, acolhem-se um pouco mais","Reipuru ramo jagua, ha'ekuéra ojoaju ramo ojuehe, iñangirûnguéra, oñangarekoveve hikuái."
"Essa fez assim","Ha'e ojapo péicha"
"Mostrando-o aos judeus","Ahechauka haguã umi judío kuérape"
"Minha pele tem titinga","Che pire oguereko titinga"
"Não houve sangue em teu parto","Ndaipóri tuguy nde memby rehe"
"Eis aqui minha grande muçurana","Ko'ápe che muçurána guasu"
"Ele é fundo","Ha'e ipypuku"
"Não foi à toa","Ndaha'éi mba'e vai"
"Observei-o","Ahecha chupe"
"Faço-a soar","Ajapóke chupe"
"Contaste a maledicência de alguém, sendo mexeriqueiro?","¿Reñe'ẽ vaipa va'ekue avavépe, reñemomba'eguasúvo?"
"O oposto da avareza é a liberalidade","Mba'e ojoavýva avare'ỹre niko mba'eporã"
"Espremi o sumo dela","Eñotĩ chupe"
"Eia, roga por nossa virtude!","E, eñembo'e ore virtudia rehe!"
"Eu tenho palavras de rufião","Che ñe'ẽnguéra niko mba'e vai"
"Foi meu pai também","Che ru avei"
"Retirei as amarras dele","Aheja chupe che mboguata"
"a sela dele","Silla-pe"
"comer um ao outro","ho'u ojupe"
"No terceiro dia","Ára mbohapyha"
"Que o mates para mim diante do pajé ruim","Nde rejukase che rehehápe pe yvyra vai renondépe"
"Somente com Ele os olhos dos homens se satisfazem no céu","Ha'e añoite yvypóra resa opoko yvágape"
"Acalmei-me","Che py'aguapy"
"Estou a latejar","Añe'ẽpoty"
"A vida de minha alma, que eu perdi, fará devolver a mim","Che ánga rekove, cheperdéva, che rendúta"
"Sua muita bondade engrandecendo","Iporãiterei nde reheve"
"Na verdade, hei de enfeitar-me , pintando-me de preto","Añetehápe, ajogua va'erã, ambojere pytã"
"não há de ser","Ndaipóri va'erã"
"Que lancemos fora nossa maldade","Jaitypa haguã ñande py'a vai"
"suas coisas comuns","umi mba'e ojoajúva"
"Algum diabão espião sempre me ameaça","Peteî espía aña katuete che mo'ã"
"Eu quero presas nas pessoas de alguns bêbados","Aipotáke umi tapicha ipiru'ỹva-pe"
"Ele passou defronte de Nhoesembé","Ohasáma Nhoesembé renondépe"
"Fazendo as pessoas beberem cauim ou dando-lhes de beber","Ojapo rupi umi héntepe ho'u ko'ã kóva, térã ome'ẽvo chupekuéra ho'u haguã"
"Depois disso, finalmente, volta-se em direção a eles, falando muito terrivelmente","Upéi katu, oguahê hikuái, oñe'êvo kyhyje'ŷre"
"Tu te permitiste cobri-la, sendo tua parenta?","Reheja ndehegui nde reheja reñangareko hese, nde reheja reñangareko ramo?"
"Embelezando-te totalmente","Nde porâite haguã"
"Estraguei-a","Añemomombyry chupe"
"Vem, ó meu senhorzinho, para que esteja muito feliz minha alma por causa do teu nascimento","Eju, che ruvicha guasu, che ánga vy'aite haguã nde rehe."
"Coisa enlameada, porco!","Mba'e ñembyahýi, porcín!"
"Na verdade, não são conhecedores das coisas","Añetehápe, ndaha'éi hikuái umi mba'e oikuaáva."
"Aquele padre que te batiza dá uma vela na tua mão","Pe pa'i nde peguarúva ome'ẽ nde pópe peteî velas"
"Como disse aos seus três discípulos após sua entrada no horto?","¿Mbaʼépa heʼi umi mbohapy idisipulokuérape oike rire pe parrálpe?"
"Por que tu me abandonaste, ó meu senhor?","Mba'ére piko rehejareíkuri chéve, che ruvicha?"
"Minha alma fez feder a vida pecaminosa","Che ánga ojapo che rekove pekádo"
"Tu te alegraste por alguém estragá-las?","¿Rovy'a va'ekue peteĩ ombotavy haguére chupekuéra?"
"Que eles gritem, chorando!","¡Pepy'a ha pemy'a potĩ!"
"Aceitei dinheiro de Pedro","Ahechakuaa Pedro viru"
"Apartei-os","Aheja chupekuéra"
"como isto, como este","ko'ãichagua, ko'ãichagua"
"Enruguei-me","Añemboja'o"
"Fazendo levar imediatamente para o céu os que resgataram bem seus pecados ainda neste mundo","Ogueraha yvágape pya'e umi omosãingo porãva iñangaipa ko yvy ape ári"
"Delato gente","Umi tapicha"
"Mas são eles os que mandam fazer cauim","Ha'ekuéra omotenonde ko'ã mba'e."
"Meu ex-marido há de ser, certamente","Che ex-marã katuete"
"Que desapareça vossa lei antiga","Toñehundíkena pende léi yma guare"
"Vou beber cauim!","Aháta aguĩ haguã!"
"Arranca de minha casa a poeira dos pés","Ogueraha che rógagui yvyra che py'águi"
"Queimareis em conjunto","Pehẽ oñondive"
"E o que evoca a Deus pelo que não é verdade, que acontece?","Ha'e ramo Nhanderuete pe ombojerovia e'ỹ va'e, mba'e nunga oiko?"
"Sobre quê será nossa conversa?","¿Mba'ére piko ñambohovái?"
"Será que a noite toda ages para fazer sumir as galinhas?","¿Nde reñemomýipa pyhare pukukue reñemomba'e hag̃ua umi kavaju?"
"Não havia nada antes de Deus fazer o mundo?","Ndaipóri piko mba'eve Tupã ojapo mboyve ko yvy?"
"para além de Lisboa","Lisboa ryepýpe"
"tempo de rogar a Deus pelas almas","aravo ñañembo'e haguã Tupã Ñandejárape ñane ánga rehehápe"
"Vem para nos guiar","Oúta ñanembo'e haguã"
"Que se compadeçam dele os judeus","Umi judío kuéra oiporiahuvereko ichupe"
"Ah, que bom seria se Deus me levasse!","¡Ajépa iporãta Ñandejára ogueraha ramo che rehe!"
"Tendo medo, farias bem","Nde kyhyje rehe, nde rejapo porãta"
"Talvez seja o anjo, guardião verdadeiro desta aldeia","Ikatu hína pe ánhel, pe guárdia añetéva ko távape"
"o que é azul, o que é verde, o que é roxo","mba'épa hovy, mba'épa hovy, mba'épa morotĩ"
"o que é sem mistura, puro, de uma só espécie","mba'e'ỹi, hekopete, peteĩchaite"
"Reconciliei-os um com o outro","Añeñandu porã ojuehe"
"reflexo ou resplendor do mar","yvate gotyo"
"guardião dos tapuias","Tape'a rerekua"
"Nós, ao contrário, havemos de ir ao encontro da nossa pátria","Ñande katu, jaju va'erã ñane retãre"
"Ah, nossos avós muito quiseram verdadeiros substitutos seus para nós","Ah, ñande sy ha ñande sy ypykue heta oipota hikuái umi mba'e iñemoñare añetéva oréve guarã."
"Ah, oxalá futuramente eu seja um pouquinho melhor!","Ah, che rehe che rekove porãve."
"Mas procedendo de que modo se está como amigo do diabo?","Péro, ¿mbaʼéichapa ikatu reñemoag̃ui ndehegui aña ndive?"
"Seu senhorzinho reconhecendo imediatamente","Nde karai michĩete ohechakuaávo pya'e"
"Eu tenho palavras afáveis","Che ñe'ẽ porãite"
"Apenas não me matou","Ha'e ndojapói chehegui"
"Faço-o ficar com firmeza","Ajapóta hese'ÿre"
"Não desobedecem nem um pouco os que moram no céu à vontade de Deus?","¿Ndépa umi oikóva yvágape ndojapói Ñandejára rembipota?"
"prato côncavo, prato fundo","tembi'u ñemboguata, tembi'u hũ"
"Trago muitos","Ahupyty heta"
"Esses homens são os que portam riquezas para nós","Ko'ã kuimba'e ogueru ñandéve mba'e porã"
"Sigo-lhe o rastro","Ahecha chupe"
"Catorze são aquelas coisas em que creremos","14 ha'e umi mba'e jajeroviáva"
"Basta! Eu estou muito contente","Che vy'aite voi"
"o que é aumentado, multiplicado, etc","mba'épa ojehupyty, ojehupyty, ha ambueve."
"Aí são muitas as mulheres que se estão oferecendo para Deus","Upépe oĩ heta kuña oikuave'ẽva Tupã Ñandejárape"
"Sou muito mocho","Che niko che mbarakaja"
"Eh! Onde ele está?","Eh, moõpa oime?"
"São Pedro puxou a espada","San Pedro oipe'a espáda"
"o que a onça matou, o morto pela onça","pe ojukava'ekue peteî onga, pe ojukava'ekue peteî onga"
"Transtorno o coração das velhas, irritando-as, fazendo-as brigar","Ahasy umi kuñakarai korasõ, añe'ẽmba, añe'ẽmba"
"Eles se consolam muitíssimo","Ha'ekuéra oñomomondýi"
